"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","778","test_content_changes_after_refresh","tests","2025-11-03","passed","2025-11-03","TestDynamicContent","test_dynamic_content","",""
"Verify each page button can be clicked","510","test_each_button_clicks[green]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","1094","test_table_edit_and_delete_buttons_per_row[Dolor-Adipisci]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","1742","test_table_edit_and_delete_buttons_per_row[Diceret-Phaedrum]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","1106","test_cells_content_per_column[Diceret-Phaedrum]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","623","test_digest_auth_login_scenarios[admin-admin]","tests","2025-11-03","passed","2025-11-03","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","354","test_table_header_per_column[Amet-Consequuntur]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","474","test_cells_content_per_column[Ipsum-Apeirian]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"Verify the number of valid images on the page.","382","test_valid_images_count","tests","2025-11-03","passed","2025-11-03","TestBrokenImages","test_broken_images","",""
"","1126","test_table_edit_and_delete_buttons_per_row[Sit-Definiebas]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"Verify the number of broken images on the page.","315","test_broken_images_count","tests","2025-11-03","passed","2025-11-03","TestBrokenImages","test_broken_images","",""
"","654","test_drag_and_drop_functionality[Option 1]","tests","2025-11-03","passed","2025-11-03","TestDragAndDrop","test_dropdown_list","",""
"","10534","test_digest_auth_login_scenarios[wrong-admin]","tests","2025-11-03","passed","2025-11-03","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","6950","test_textbox_enable_and_disable","tests","2025-11-03","passed","2025-11-03","TestDynamicControls","test_dynamic_controls","",""
"","299","test_basic_auth[admin-admin-200-Congratulations! You must have the proper credentials.]","tests","2025-11-03","passed","2025-11-03","TestBasicAuth","test_basic_auth_login_scenarios","",""
"Verify right-click outside hot spot area","548","test_right_click_outside_hotspot","tests","2025-11-03","passed","2025-11-03","TestContextMenu","test_context_menu","",""
"","17673","test_checkbox_remove_and_add","tests","2025-11-03","passed","2025-11-03","TestDynamicControls","test_dynamic_controls","",""
"","326","test_table_header_per_column[Ipsum-Apeirian]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","1331","test_drag_and_drop_functionality","tests","2025-11-03","passed","2025-11-03","TestDragAndDrop","test_drag_and_drop","",""
"","331","test_table_header_per_column[Dolor-Adipisci]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","562","test_drag_and_drop_functionality[Option 2]","tests","2025-11-03","passed","2025-11-03","TestDragAndDrop","test_dropdown_list","",""
"","426","test_cells_content_per_column[Lorem-Iuvaret]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","1271","test_table_edit_and_delete_buttons_per_row[Ipsum-Apeirian]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"Verify checkboxes functionality","1463","test_checkboxes_functionality","tests","2025-11-03","passed","2025-11-03","TestCheckboxes","test_checkboxes","",""
"Verify each page button can be clicked","618","test_each_button_clicks[blue]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","300","test_ab_testing_content","tests","2025-11-03","passed","2025-11-03","TestABTesting","test_ab_testing","",""
"Verify right-click on hot spot area","270","test_right_click_on_hotspot","tests","2025-11-03","passed","2025-11-03","TestContextMenu","test_context_menu","",""
"","1165","test_table_edit_and_delete_buttons_per_row[Lorem-Iuvaret]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","358","test_table_header_per_column[Sit-Definiebas]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","32","test_basic_auth[wrong-wrong-401-Not authorized\n]","tests","2025-11-03","passed","2025-11-03","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","765","test_add_elements","tests","2025-11-03","passed","2025-11-03","TestAddRemoveElements","test_add_remove_elements","",""
"","10225","test_digest_auth_login_scenarios[admin-wrong]","tests","2025-11-03","passed","2025-11-03","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","1025","test_table_edit_and_delete_buttons_per_row[Amet-Consequuntur]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","7317","test_remove_elements","tests","2025-11-03","passed","2025-11-03","TestAddRemoveElements","test_add_remove_elements","",""
"","88","test_basic_auth[--401-Not authorized\n]","tests","2025-11-03","passed","2025-11-03","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","374","test_table_header_per_column[Diceret-Phaedrum]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","541","test_cells_content_per_column[Dolor-Adipisci]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","751","test_cells_content_per_column[Amet-Consequuntur]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","374","test_table_header_per_column[Lorem-Iuvaret]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"Verify each page button can be clicked","597","test_each_button_clicks[red]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
"","787","test_cells_content_per_column[Sit-Definiebas]","tests","2025-11-03","passed","2025-11-03","TestChallengingDom","test_challenging_dom","",""
