"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","693","test_drag_and_drop_functionality[Option 2]","tests","2025-11-16","passed","2025-11-16","TestDragAndDrop","test_dropdown_list","",""
"","5883","test_example_2","tests","2025-11-16","passed","2025-11-16","TestDynamicLoading","test_dynamic_loading","",""
"","495","test_ab_testing_content","tests","2025-11-16","passed","2025-11-16","TestABTesting","test_ab_testing","",""
"","940","test_checkboxes_functionality","tests","2025-11-16","passed","2025-11-16","TestCheckboxes","test_checkboxes","",""
"","699","test_each_button_clicks[red]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","10435","test_digest_auth_login_scenarios[admin-wrong]","tests","2025-11-16","passed","2025-11-16","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","10424","test_digest_auth_login_scenarios[wrong-admin]","tests","2025-11-16","passed","2025-11-16","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","102","test_basic_auth[wrong-wrong-401-Not authorized\n]","tests","2025-11-16","passed","2025-11-16","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","674","test_table_header_per_column[Dolor]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","707","test_table_header_per_column[Lorem]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","1091","test_cells_content_per_column[Amet-Consequuntur]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","1602","test_table_edit_and_delete_buttons_per_row","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","17928","test_checkbox_remove_and_add","tests","2025-11-16","passed","2025-11-16","TestDynamicControls","test_dynamic_controls","",""
"","915","test_valid_images_count","tests","2025-11-16","passed","2025-11-16","TestBrokenImages","test_broken_images","",""
"","963","test_cells_content_per_column[Dolor-Adipisci]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","471","test_table_header_per_column[Amet]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"Verify right-click on hot spot area","359","test_right_click_on_hotspot","tests","2025-11-16","passed","2025-11-16","TestContextMenu","test_context_menu","",""
"","778","test_drag_and_drop_functionality[Option 1]","tests","2025-11-16","passed","2025-11-16","TestDragAndDrop","test_dropdown_list","",""
"Verify right-click outside hot spot area","686","test_right_click_outside_hotspot","tests","2025-11-16","passed","2025-11-16","TestContextMenu","test_context_menu","",""
"","7565","test_remove_elements","tests","2025-11-16","passed","2025-11-16","TestAddRemoveElements","test_add_remove_elements","",""
"","7820","test_textbox_enable_and_disable","tests","2025-11-16","passed","2025-11-16","TestDynamicControls","test_dynamic_controls","",""
"","743","test_broken_images_count","tests","2025-11-16","passed","2025-11-16","TestBrokenImages","test_broken_images","",""
"","873","test_cells_content_per_column[Lorem-Iuvaret]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","250","test_basic_auth[--401-Not authorized\n]","tests","2025-11-16","passed","2025-11-16","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","1255","test_content_changes_after_refresh","tests","2025-11-16","passed","2025-11-16","TestDynamicContent","test_dynamic_content","",""
"","1101","test_digest_auth_login_scenarios[admin-admin]","tests","2025-11-16","passed","2025-11-16","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","698","test_each_button_clicks[green]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","1018","test_cells_content_per_column[Sit-Definiebas]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","959","test_add_elements","tests","2025-11-16","passed","2025-11-16","TestAddRemoveElements","test_add_remove_elements","",""
"","1457","test_drag_and_drop_functionality","tests","2025-11-16","passed","2025-11-16","TestDragAndDrop","test_drag_and_drop","",""
"","724","test_table_header_per_column[Diceret]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","1408","test_cells_content_per_column[Ipsum-Apeirian]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","10974","test_files_download_functionality","tests","2025-11-16","passed","2025-11-16","TestFilesDownload","test_files_download","",""
"","5915","test_example_1","tests","2025-11-16","passed","2025-11-16","TestDynamicLoading","test_dynamic_loading","",""
"","642","test_table_header_per_column[Ipsum]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","671","test_table_header_per_column[Sit]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","130","test_basic_auth[admin-admin-200-Congratulations! You must have the proper credentials.]","tests","2025-11-16","passed","2025-11-16","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","884","test_cells_content_per_column[Diceret-Phaedrum]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
"","841","test_each_button_clicks[blue]","tests","2025-11-16","passed","2025-11-16","TestChallengingDom","test_challenging_dom","",""
