"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","703","test_drag_and_drop_functionality[Option 2]","tests","2025-11-07","passed","2025-11-07","TestDragAndDrop","test_dropdown_list","",""
"","429","test_table_header_per_column[Lorem]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","1811","test_checkboxes_functionality","tests","2025-11-07","passed","2025-11-07","TestCheckboxes","test_checkboxes","",""
"","496","test_cells_content_per_column[Dolor-Adipisci]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","6277","test_example_1","tests","2025-11-07","passed","2025-11-07","TestDynamicLoading","test_dynamic_loading","",""
"","638","test_each_button_clicks[red]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","6731","test_textbox_enable_and_disable","tests","2025-11-07","passed","2025-11-07","TestDynamicControls","test_dynamic_controls","",""
"","529","test_each_button_clicks[green]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","1166","test_digest_auth_login_scenarios[admin-admin]","tests","2025-11-07","passed","2025-11-07","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","342","test_cells_content_per_column[Lorem-Iuvaret]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","1315","test_cells_content_per_column[Amet-Consequuntur]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","440","test_broken_images_count","tests","2025-11-07","passed","2025-11-07","TestBrokenImages","test_broken_images","",""
"","455","test_table_header_per_column[Dolor]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","932","test_cells_content_per_column[Sit-Definiebas]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","1549","test_each_button_clicks[blue]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","292","test_table_header_per_column[Sit]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","1132","test_drag_and_drop_functionality","tests","2025-11-07","passed","2025-11-07","TestDragAndDrop","test_drag_and_drop","",""
"","331","test_table_header_per_column[Diceret]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","317","test_table_header_per_column[Ipsum]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","7485","test_remove_elements","tests","2025-11-07","passed","2025-11-07","TestAddRemoveElements","test_add_remove_elements","",""
"","320","test_valid_images_count","tests","2025-11-07","passed","2025-11-07","TestBrokenImages","test_broken_images","",""
"","225","test_ab_testing_content","tests","2025-11-07","passed","2025-11-07","TestABTesting","test_ab_testing","",""
"","241","test_basic_auth[--401-Not authorized\n]","tests","2025-11-07","passed","2025-11-07","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","84","test_basic_auth[wrong-wrong-401-Not authorized\n]","tests","2025-11-07","passed","2025-11-07","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","527","test_cells_content_per_column[Diceret-Phaedrum]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","683","test_drag_and_drop_functionality[Option 1]","tests","2025-11-07","passed","2025-11-07","TestDragAndDrop","test_dropdown_list","",""
"","16953","test_checkbox_remove_and_add","tests","2025-11-07","passed","2025-11-07","TestDynamicControls","test_dynamic_controls","",""
"","10631","test_digest_auth_login_scenarios[wrong-admin]","tests","2025-11-07","passed","2025-11-07","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","901","test_table_edit_and_delete_buttons_per_row","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","2081","test_add_elements","tests","2025-11-07","passed","2025-11-07","TestAddRemoveElements","test_add_remove_elements","",""
"Verify right-click outside hot spot area","1218","test_right_click_outside_hotspot","tests","2025-11-07","passed","2025-11-07","TestContextMenu","test_context_menu","",""
"","1011","test_content_changes_after_refresh","tests","2025-11-07","passed","2025-11-07","TestDynamicContent","test_dynamic_content","",""
"","101","test_basic_auth[admin-admin-200-Congratulations! You must have the proper credentials.]","tests","2025-11-07","passed","2025-11-07","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","10324","test_digest_auth_login_scenarios[admin-wrong]","tests","2025-11-07","passed","2025-11-07","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","309","test_table_header_per_column[Amet]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","735","test_cells_content_per_column[Ipsum-Apeirian]","tests","2025-11-07","passed","2025-11-07","TestChallengingDom","test_challenging_dom","",""
"","6523","test_example_2","tests","2025-11-07","passed","2025-11-07","TestDynamicLoading","test_dynamic_loading","",""
"Verify right-click on hot spot area","506","test_right_click_on_hotspot","tests","2025-11-07","passed","2025-11-07","TestContextMenu","test_context_menu","",""
