"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","624","test_table_header_per_column[Amet]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","438","test_cells_content_per_column[Dolor-Adipisci]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","420","test_valid_images_count","tests","2025-11-19","passed","2025-11-19","TestBrokenImages","test_broken_images","",""
"","1524","test_each_button_clicks[blue]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","5466","test_example_2","tests","2025-11-19","passed","2025-11-19","TestDynamicLoading","test_dynamic_loading","",""
"","477","test_table_header_per_column[Sit]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","42","test_basic_auth[admin-admin-200-Congratulations! You must have the proper credentials.]","tests","2025-11-19","passed","2025-11-19","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","0","test_modal_window_functionality","tests","2025-11-19","skipped","2025-11-19","TestEntryAd","test_entry_ad","",""
"","684","test_drag_and_drop_functionality","tests","2025-11-19","passed","2025-11-19","TestDragAndDrop","test_drag_and_drop","",""
"","325","test_drag_and_drop_functionality[Option 2]","tests","2025-11-19","passed","2025-11-19","TestDragAndDrop","test_dropdown_list","",""
"","222","test_ab_testing_content","tests","2025-11-19","passed","2025-11-19","TestABTesting","test_ab_testing","",""
"Verify right-click on hot spot area","260","test_right_click_on_hotspot","tests","2025-11-19","passed","2025-11-19","TestContextMenu","test_context_menu","",""
"","571","test_cells_content_per_column[Ipsum-Apeirian]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","325","test_digest_auth_login_scenarios[wrong-admin]","tests","2025-11-19","passed","2025-11-19","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","412","test_table_header_per_column[Ipsum]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","715","test_each_button_clicks[red]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","942","test_files_upload_functionality[Screenshot_2025-11-16_at_9.23.28_PM.png]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","539","test_cells_content_per_column[Lorem-Iuvaret]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","6904","test_remove_elements","tests","2025-11-19","passed","2025-11-19","TestAddRemoveElements","test_add_remove_elements","",""
"","1046","test_files_upload_functionality[TestingFile.pdf]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","16624","test_checkbox_remove_and_add","tests","2025-11-19","passed","2025-11-19","TestDynamicControls","test_dynamic_controls","",""
"","1030","test_table_edit_and_delete_buttons_per_row","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","635","test_floating_menu_functionality[Contact]","tests","2025-11-19","passed","2025-11-19","TestFloatingMenu","test_floating_menu","",""
"","931","test_files_upload_functionality[CATE-CHAPTER_1-QUALITY.ppt]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","25","test_basic_auth[wrong-wrong-401-Not authorized\n]","tests","2025-11-19","passed","2025-11-19","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","955","test_form_authentication_functionality[wrong-SuperSecretPassword!-Your username is invalid!]","tests","2025-11-19","passed","2025-11-19","TestFormAuthentication","test_form_authentication","",""
"","1129","test_floating_menu_functionality[Home]","tests","2025-11-19","passed","2025-11-19","TestFloatingMenu","test_floating_menu","",""
"","0","test_modal_window_functionality","tests","2025-11-19","skipped","2025-11-19","TestExitIntent","test_exit_intent","",""
"","698","test_floating_menu_functionality[About]","tests","2025-11-19","passed","2025-11-19","TestFloatingMenu","test_floating_menu","",""
"","494","test_cells_content_per_column[Amet-Consequuntur]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","404","test_broken_images_count","tests","2025-11-19","passed","2025-11-19","TestBrokenImages","test_broken_images","",""
"Verify right-click outside hot spot area","754","test_right_click_outside_hotspot","tests","2025-11-19","passed","2025-11-19","TestContextMenu","test_context_menu","",""
"","421","test_cells_content_per_column[Diceret-Phaedrum]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","580","test_add_elements","tests","2025-11-19","passed","2025-11-19","TestAddRemoveElements","test_add_remove_elements","",""
"","226","test_digest_auth_login_scenarios[admin-wrong]","tests","2025-11-19","passed","2025-11-19","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","7034","test_textbox_enable_and_disable","tests","2025-11-19","passed","2025-11-19","TestDynamicControls","test_dynamic_controls","",""
"","590","test_drag_and_drop_functionality[Option 1]","tests","2025-11-19","passed","2025-11-19","TestDragAndDrop","test_dropdown_list","",""
"","432","test_table_header_per_column[Lorem]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","0","test_files_download_functionality","tests","2025-11-19","skipped","2025-11-19","TestFilesDownload","test_files_download","",""
"","1406","test_form_authentication_functionality[tomsmith-SuperSecretPassword!-You logged into a secure area!]","tests","2025-11-19","passed","2025-11-19","TestFormAuthentication","test_form_authentication","",""
"","815","test_files_upload_functionality[Company_Portal_Installer.exe]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","425","test_table_header_per_column[Dolor]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","737","test_floating_menu_functionality[News]","tests","2025-11-19","passed","2025-11-19","TestFloatingMenu","test_floating_menu","",""
"","2162","test_files_upload_functionality[audio-first.mp3]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","787","test_files_upload_functionality[test1.json]","tests.test_files_upload","2025-11-19","passed","2025-11-19","TestFilesUpload","test_files_upload","",""
"","444","test_cells_content_per_column[Sit-Definiebas]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","174","test_basic_auth[--401-Not authorized\n]","tests","2025-11-19","passed","2025-11-19","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","5790","test_example_1","tests","2025-11-19","passed","2025-11-19","TestDynamicLoading","test_dynamic_loading","",""
"","465","test_digest_auth_login_scenarios[admin-admin]","tests","2025-11-19","passed","2025-11-19","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","339","test_checkboxes_functionality","tests","2025-11-19","passed","2025-11-19","TestCheckboxes","test_checkboxes","",""
"","469","test_content_changes_after_refresh","tests","2025-11-19","passed","2025-11-19","TestDynamicContent","test_dynamic_content","",""
"","892","test_form_authentication_functionality[tomsmith-wrong!-Your password is invalid!]","tests","2025-11-19","passed","2025-11-19","TestFormAuthentication","test_form_authentication","",""
"","828","test_table_header_per_column[Diceret]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
"","612","test_each_button_clicks[green]","tests","2025-11-19","passed","2025-11-19","TestChallengingDom","test_challenging_dom","",""
