"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","541","test_valid_images_count","tests","2025-11-08","passed","2025-11-08","TestBrokenImages","test_broken_images","",""
"","862","test_cells_content_per_column[Dolor-Adipisci]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"Verify right-click outside hot spot area","955","test_right_click_outside_hotspot","tests","2025-11-08","passed","2025-11-08","TestContextMenu","test_context_menu","",""
"","365","test_table_header_per_column[Amet]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","7203","test_textbox_enable_and_disable","tests","2025-11-08","passed","2025-11-08","TestDynamicControls","test_dynamic_controls","",""
"","1591","test_content_changes_after_refresh","tests","2025-11-08","passed","2025-11-08","TestDynamicContent","test_dynamic_content","",""
"","959","test_drag_and_drop_functionality","tests","2025-11-08","passed","2025-11-08","TestDragAndDrop","test_drag_and_drop","",""
"","379","test_table_header_per_column[Dolor]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","514","test_cells_content_per_column[Amet-Consequuntur]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","165","test_basic_auth[admin-admin-200-Congratulations! You must have the proper credentials.]","tests","2025-11-08","passed","2025-11-08","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","10567","test_digest_auth_login_scenarios[admin-wrong]","tests","2025-11-08","passed","2025-11-08","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","581","test_cells_content_per_column[Lorem-Iuvaret]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","10758","test_digest_auth_login_scenarios[wrong-admin]","tests","2025-11-08","passed","2025-11-08","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","499","test_cells_content_per_column[Sit-Definiebas]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","757","test_cells_content_per_column[Diceret-Phaedrum]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","7231","test_remove_elements","tests","2025-11-08","passed","2025-11-08","TestAddRemoveElements","test_add_remove_elements","",""
"","446","test_table_header_per_column[Ipsum]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","1133","test_add_elements","tests","2025-11-08","passed","2025-11-08","TestAddRemoveElements","test_add_remove_elements","",""
"Verify right-click on hot spot area","520","test_right_click_on_hotspot","tests","2025-11-08","passed","2025-11-08","TestContextMenu","test_context_menu","",""
"","764","test_checkboxes_functionality","tests","2025-11-08","passed","2025-11-08","TestCheckboxes","test_checkboxes","",""
"","542","test_each_button_clicks[green]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","1353","test_each_button_clicks[blue]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","1861","test_digest_auth_login_scenarios[admin-admin]","tests","2025-11-08","passed","2025-11-08","TestDigestAuth","test_digest_auth_login_scenarios","",""
"","383","test_basic_auth[--401-Not authorized\n]","tests","2025-11-08","passed","2025-11-08","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","691","test_drag_and_drop_functionality[Option 2]","tests","2025-11-08","passed","2025-11-08","TestDragAndDrop","test_dropdown_list","",""
"","425","test_table_header_per_column[Lorem]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","382","test_table_header_per_column[Sit]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","150","test_basic_auth[wrong-wrong-401-Not authorized\n]","tests","2025-11-08","passed","2025-11-08","TestBasicAuth","test_basic_auth_login_scenarios","",""
"","17163","test_checkbox_remove_and_add","tests","2025-11-08","passed","2025-11-08","TestDynamicControls","test_dynamic_controls","",""
"","5835","test_example_1","tests","2025-11-08","passed","2025-11-08","TestDynamicLoading","test_dynamic_loading","",""
"","718","test_cells_content_per_column[Ipsum-Apeirian]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","618","test_each_button_clicks[red]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","554","test_table_header_per_column[Diceret]","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","698","test_ab_testing_content","tests","2025-11-08","passed","2025-11-08","TestABTesting","test_ab_testing","",""
"","409","test_broken_images_count","tests","2025-11-08","passed","2025-11-08","TestBrokenImages","test_broken_images","",""
"","587","test_table_edit_and_delete_buttons_per_row","tests","2025-11-08","passed","2025-11-08","TestChallengingDom","test_challenging_dom","",""
"","5811","test_example_2","tests","2025-11-08","passed","2025-11-08","TestDynamicLoading","test_dynamic_loading","",""
"","709","test_drag_and_drop_functionality[Option 1]","tests","2025-11-08","passed","2025-11-08","TestDragAndDrop","test_dropdown_list","",""
